                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.41288,                0.43278,                0.98063,                0.75223,                0.66631,                 0.7064,                0.60713,                0.58716,                 1.3109,                 1.0942,             0.00012298,             0.00012298,             0.00012298
                     58,                 0.4119,                0.42421,                0.97335,                0.76216,                0.66217,                0.72504,                0.62104,                0.57975,                 1.2871,                 1.0869,             0.00012031,             0.00012031,             0.00012031
                     59,                0.40973,                0.42553,                0.97807,                 0.7496,                0.67811,                0.72217,                0.61946,                0.57983,                 1.3059,                 1.0882,             0.00011764,             0.00011764,             0.00011764
                     60,                0.40403,                0.41496,                0.97303,                0.75027,                0.66772,                 0.7289,                0.62599,                0.58323,                 1.2951,                 1.0959,             0.00011497,             0.00011497,             0.00011497
                     61,                0.40565,                0.41686,                0.97445,                0.72687,                0.67469,                0.71763,                0.61505,                0.58907,                 1.3183,                 1.1045,             0.00011229,             0.00011229,             0.00011229
                     62,                0.40276,                0.40961,                0.97345,                0.72798,                0.67316,                0.71116,                 0.6068,                0.59315,                 1.3785,                  1.095,             0.00010962,             0.00010962,             0.00010962
                     63,                0.40259,                0.40955,                0.97216,                0.74373,                0.66398,                0.71887,                0.61501,                0.58344,                 1.3056,                 1.0917,             0.00010695,             0.00010695,             0.00010695
                     64,                0.39602,                0.40281,                 0.9684,                0.76442,                 0.6609,                0.71782,                0.61584,                0.58573,                 1.3247,                 1.1035,             0.00010427,             0.00010427,             0.00010427
                     65,                0.39703,                0.40356,                0.97372,                0.74197,                0.68025,                0.71969,                0.61319,                0.59326,                 1.2997,                 1.1022,              0.0001016,              0.0001016,              0.0001016
                     66,                 0.3931,                0.39852,                0.96759,                0.73441,                0.67926,                0.72206,                0.61743,                0.59818,                 1.3458,                 1.1036,             9.8928e-05,             9.8928e-05,             9.8928e-05
                     67,                0.39318,                0.39577,                0.96822,                0.74469,                0.67504,                0.72386,                0.61616,                0.59107,                 1.3317,                 1.1018,             9.6255e-05,             9.6255e-05,             9.6255e-05
                     68,                0.39009,                0.39082,                0.96696,                0.72946,                0.68471,                0.72156,                0.61731,                0.59284,                 1.3213,                 1.1007,             9.3582e-05,             9.3582e-05,             9.3582e-05
                     69,                 0.3864,                0.38837,                0.96325,                0.75034,                0.66531,                0.72634,                0.61872,                0.59368,                  1.316,                 1.0969,             9.0909e-05,             9.0909e-05,             9.0909e-05
                     70,                0.38519,                0.37925,                0.96343,                0.71708,                0.69276,                0.71826,                0.61399,                0.59253,                  1.348,                 1.1035,             8.8236e-05,             8.8236e-05,             8.8236e-05
                     71,                0.37866,                0.37511,                0.95641,                0.74191,                0.67567,                0.71996,                 0.6188,                0.58663,                 1.3219,                 1.0978,             8.5563e-05,             8.5563e-05,             8.5563e-05
